Spec Id,Make,Model,Spec,Funder Id,Term,Mileage,Rental
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,10000,952.37
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,12000,968.11
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,16000,999.56
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,20000,1031.02
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,24000,1060.88
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,30000,1104.93
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,40000,1170.14
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,50000,1241.61
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,24,60000,1303.55
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,15000,755.05
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,18000,769.08
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,24000,795.07
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,30000,819.48
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,36000,843.99
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,45000,883.03
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,60000,945.72
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,75000,999.95
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,36,90000,1052.30
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,20000,662.35
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,24000,676.83
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,32000,703.68
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,40000,726.65
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,48000,751.48
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,60000,786.12
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,80000,835.20
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,100000,881.50
1,TESLA,MODEL 3 SALOON,Long Range AWD 4dr Auto,1,48,120000,921.53
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,10000,605.55
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,12000,620.03
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,16000,649.00
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,20000,677.95
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,24000,705.34
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,30000,743.01
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,40000,805.13
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,50000,870.46
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,24,60000,926.10
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,36,15000,505.80
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,36,18000,518.81
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,36,24000,543.03
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,36,30000,563.93
2,TESLA,MODEL 3 SALOON,RWD 4dr Auto,2,36,36000,587.96
